"input" "filtered" "tabled" "nonchim"
"Sample168" 72514 62724 56607 51043
"Sample169" 51941 44961 40136 37645
"Sample170" 73686 64937 58689 54069
"Sample171" 52165 45373 40765 37938
"Sample172" 50512 44654 40999 38244
"Sample173" 55105 47750 43827 40902
"Sample174" 58302 50340 45947 42056
"Sample175" 49557 43474 39884 37767
"Sample176" 62248 53978 49285 45342
"Sample177" 47657 40371 36804 34553
"Sample178" 42063 36887 33249 30446
"Sample179" 60222 51038 45972 37802
"Sample180" 65106 56278 49783 40295
"Sample181" 72212 61483 55982 45358
"Sample182" 58937 50562 47226 39049
"Sample183" 61534 53303 49377 40892
